SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.NumberOfPosition.AtTheBegining,7011,vt_bool, True
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes,7011,vt_bool, True
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes,101,vt_bstr,Изменения ПЛА
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes,1,vt_i2, 18
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes.ExtractedPosition,7011,vt_bool, True
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes.ExtractedPosition,2,vt_ui2, 6
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes.ExtractedPosition,101,vt_bstr,Извлечено позиций
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes.ExtractedPosition,1,vt_i2, 18
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes.AddedPosition,7011,vt_bool, True
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes.AddedPosition,2,vt_ui2, 7
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes.AddedPosition,101,vt_bstr,Внесено позиций
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes.AddedPosition,1,vt_i2, 18
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes.AddedChanges,7011,vt_bool, True
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes.AddedChanges,2,vt_ui2, 5
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes.AddedChanges,101,vt_bstr,Внесено изменений
SCEC.SCEC_Kuzbass.Pol.EmergencyResponsePlan.Changes.AddedChanges,1,vt_i2, 18
